Eric Hosmer,1B,28.2,L,L,KC,SD,8,"$144,000,000","$18,000,000"
Yu Darvish,SP,31.4,R,R,LAD,CHC,6,"$126,000,000","$21,000,000"
J.D. Martinez,DH,30.4,R,R,ARI,BOS,5,"$110,000,000","$22,000,000"
Lorenzo Cain,CF,31.8,R,R,KC,MIL,5,"$80,000,000","$16,000,000"
Jake Arrieta,SP,32.0,R,R,CHC,PHI,3,"$75,000,000","$25,000,000"
Carlos Santana,1B,31.7,S,R,CLE,PHI,3,"$60,000,000","$20,000,000"
Alex Cobb,SP,30.4,R,R,TB,BAL,4,"$57,000,000","$14,250,000"
Wade Davis,RP,32.2,R,R,CHC,COL,3,"$52,000,000","$17,333,333"
Jay Bruce,RF,30.8,L,L,CLE,NYM,3,"$39,000,000","$13,000,000"
Zack Cozart,3B,32.3,R,R,CIN,LAA,3,"$38,000,000","$12,666,667"
Tyler Chatwood,RP,27.9,R,R,COL,CHC,3,"$38,000,000","$12,666,667"
Mike Minor,SP,29.9,R,L,KC,TEX,3,"$28,000,000","$9,333,333"
Bryan Shaw,RP,30.1,S,R,CLE,COL,3,"$27,000,000","$9,000,000"
Jake McGee,RP,31.3,L,L,COL,COL,3,"$27,000,000","$9,000,000"
Brandon Morrow,RP,33.3,R,R,LAD,CHC,2,"$21,000,000","$10,500,000"
Tommy Hunter,RP,31.4,R,R,TB,PHI,2,"$18,000,000","$9,000,000"
Todd Frazier,3B,31.9,R,R,NYY,NYM,2,"$17,000,000","$8,500,000"
Juan Nicasio,RP,31.2,R,R,STL,SEA,2,"$17,000,000","$8,500,000"
Addison Reed,RP,29.0,L,R,BOS,MIN,2,"$16,750,000","$8,375,000"
Pat Neshek,RP,37.2,S,R,COL,PHI,2,"$16,200,000","$8,100,000"
Jason Vargas,SP,35.0,L,L,KC,NYM,2,"$16,000,000","$8,000,000"
Andrew Cashner,RP,31.4,R,R,TEX,BAL,2,"$16,000,000","$8,000,000"
Yonder Alonso,1B,30.7,L,R,SEA,CLE,2,"$16,000,000","$8,000,000"
Jhoulys Chacin,SP,29.9,R,R,SD,MIL,2,"$15,500,000","$7,750,000"
Joe Smith,RP,33.7,R,R,CLE,HOU,2,"$15,000,000","$7,500,000"
Welington Castillo,C,30.6,R,R,BAL,CHW,2,"$15,000,000","$7,500,000"
Greg Holland,RP,32.3,R,R,COL,STL,1,"$14,000,000","$14,000,000"
Anthony Swarzak,RP,32.2,R,R,MIL,NYM,2,"$14,000,000","$7,000,000"
Mitch Moreland,1B,32.2,L,L,BOS,BOS,2,"$13,000,000","$6,500,000"
Steve Cishek,RP,31.4,R,R,SEA,CHC,2,"$13,000,000","$6,500,000"
Lance Lynn,SP,30.8,S,R,STL,MIN,1,"$12,000,000","$12,000,000"
Luke Gregerson,RP,33.5,L,R,HOU,STL,2,"$11,000,000","$5,500,000"
Jaime Garcia,RP,31.6,L,L,NYY,TOR,1,"$10,000,000","$10,000,000"
C.C. Sabathia,SP,37.3,L,L,NYY,NYY,1,"$10,000,000","$10,000,000"
Brandon Kintzler,RP,33.3,R,R,WSH,WSH,2,"$10,000,000","$5,000,000"
Drew Smyly,SP,28.5,L,L,SEA,CHC,2,"$10,000,000","$5,000,000"
Michael Pineda,SP,28.8,R,R,NYY,MIN,2,"$10,000,000","$5,000,000"
Yusmeiro Petit,RP,33.0,R,R,LAA,OAK,2,"$10,000,000","$5,000,000"
Tony Watson,RP,32.7,L,L,LAD,SF,3,"$9,000,000","$3,000,000"
Hector Rondon,RP,29.8,R,R,CHC,HOU,2,"$8,500,000","$4,250,000"
Chris Iannetta,C,34.7,R,R,ARI,COL,2,"$8,500,000","$4,250,000"
Alex Avila,C,31.0,L,R,CHC,ARI,2,"$8,250,000","$4,125,000"
Carlos Gonzalez,RF,32.3,L,L,COL,COL,1,"$8,000,000","$8,000,000"
Eduardo Nunez,3B,30.7,R,R,BOS,BOS,2,"$8,000,000","$4,000,000"
Jarrod Dyson,CF,33.5,L,R,SEA,ARI,2,"$7,500,000","$3,750,000"
Brian Duensing,RP,34.8,L,L,CHC,CHC,2,"$7,000,000","$3,500,000"
Howie Kendrick,2B,34.5,R,R,WSH,WSH,2,"$7,000,000","$3,500,000"
Jonathan Lucroy,C,31.7,R,R,COL,OAK,1,"$6,500,000","$6,500,000"
Mike Moustakas,3B,29.4,L,R,KC,KC,1,"$6,500,000","$6,500,000"
Logan Morrison,DH,30.5,L,L,TB,MIN,1,"$6,500,000","$6,500,000"
Michael Fiers,SP,32.4,R,R,HOU,DET,1,"$6,000,000","$6,000,000"
David Hernandez,RP,32.7,R,R,ARI,CIN,2,"$5,000,000","$2,500,000"
Matt Albers,RP,35.0,L,R,WSH,MIL,2,"$5,000,000","$2,500,000"
Curtis Granderson,LF,36.8,L,R,LAD,TOR,1,"$5,000,000","$5,000,000"
Miguel Gonzalez,SP,33.6,R,R,TEX,CHW,1,"$4,750,000","$4,750,000"
Craig Stammen,RP,33.8,R,R,SD,SD,2,"$4,500,000","$2,250,000"
Jared Hughes,RP,32.4,R,R,MIL,CIN,2,"$4,500,000","$2,250,000"
Fernando Rodney,RP,40.7,R,R,ARI,MIN,1,"$4,500,000","$4,500,000"
Brett Anderson (minor),SP,30.1,L,L,TOR,OAK,1,"$4,000,000","$4,000,000"
Neil Walker,2B,32.5,S,R,MIL,NYY,1,"$4,000,000","$4,000,000"
Francisco Liriano,RP,34.2,L,L,HOU,DET,1,"$4,000,000","$4,000,000"
Carlos Gomez,RF,32.2,R,R,TEX,TB,1,"$4,000,000","$4,000,000"
Matt Adams,1B,29.2,L,R,ATL,WSH,1,"$4,000,000","$4,000,000"
Doug Fister,SP,33.8,L,R,BOS,TEX,1,"$4,000,000","$4,000,000"
Lucas Duda,1B,32.0,L,R,TB,KC,1,"$3,500,000","$3,500,000"
Cameron Maybin,RF,30.8,R,R,HOU,MIA,1,"$3,250,000","$3,250,000"
Colby Rasmus (minor),LF,31.5,L,L,TB,BAL,1,"$3,000,000","$3,000,000"
Bud Norris,RP,32.9,R,R,LAA,STL,1,"$3,000,000","$3,000,000"
Rene Rivera,C,34.4,R,R,CHC,LAA,1,"$2,800,000","$2,800,000"
Fernando Abad (minor),RP,32.2,L,L,BOS,PHI,1,"$2,500,000","$2,500,000"
Anibal Sanchez,SP,33.9,R,R,DET,MIN,1,"$2,500,000","$2,500,000"
Wade Miley (minor),SP,31.2,L,L,BAL,MIL,1,"$2,500,000","$2,500,000"
Sergio Romo,RP,34.9,R,R,TB,TB,1,"$2,500,000","$2,500,000"
Francisco Rodriguez (minor),RP,36.0,R,R,WSH,PHI,1,"$2,500,000","$2,500,000"
