Max Scherzer,SP,30.4,R,R,DET,WSH,7,"$210,000,000.00","$30,000,000.00",,,,,,,,,,,
Jon Lester,SP,30.9,L,L,OAK,CHC,6,"$155,000,000.00","$25,833,333.00",,,,,,,,,,,
Pablo Sandoval,3B,28.2,S,R,SF,BOS,5,"$95,000,000.00","$19,000,000.00",,,,,,,,,,,
Hanley Ramirez,1B,30.9,R,R,LAD,BOS,4,"$88,000,000.00","$22,000,000.00",,,,,,,,,,,
Russell Martin,C,31.8,R,R,PIT,TOR,5,"$82,000,000.00","$16,400,000.00",,,,,,,,,,,
James Shields,SP,33.1,R,R,KC,SD,4,"$75,000,000.00","$18,750,000.00",,,,,,,,,,,
Nelson Cruz,DH,34.4,R,R,BAL,SEA,4,"$57,000,000.00","$14,250,000.00",,,,,,,,,,,
Ervin Santana,SP,31.9,R,R,ATL,MIN,4,"$55,000,000.00","$13,750,000.00",,,,,,,,,,,
Chase Headley,3B,30.6,S,R,NYY,NYY,4,"$52,000,000.00","$13,000,000.00",,,,,,,,,,,
Brandon McCarthy,SP,31.4,R,R,NYY,LAD,4,"$48,000,000.00","$12,000,000.00",,,,,,,,,,,
David Robertson,RP,29.7,R,R,NYY,CHW,4,"$46,000,000.00","$11,500,000.00",,,,,,,,,,,
Nick Markakis,RF,31.0,L,L,BAL,ATL,4,"$44,000,000.00","$11,000,000.00",,,,,,,,,,,
Melky Cabrera,LF,30.3,S,L,TOR,CHW,3,"$42,000,000.00","$14,000,000.00",,,,,,,,,,,
Francisco Liriano,RP,31.1,L,L,PIT,PIT,3,"$39,000,000.00","$13,000,000.00",,,,,,,,,,,
Andrew Miller,RP,29.5,L,L,BAL,NYY,4,"$36,000,000.00","$9,000,000.00",,,,,,,,,,,
Billy Butler,DH,28.6,R,R,KC,OAK,3,"$30,000,000.00","$10,000,000.00",,,,,,,,,,,
Adam LaRoche,DH,35.0,L,L,WSH,CHW,2,"$25,000,000.00","$12,500,000.00",,,,,,,,,,,
Jake Peavy,RP,33.5,R,R,SF,SF,2,"$24,000,000.00","$12,000,000.00",,,,,,,,,,,
Jed Lowrie,2B,30.6,S,R,OAK,HOU,3,"$23,000,000.00","$7,666,667.00",,,,,,,,,,,
Edinson Volquez,RP,31.4,R,R,PIT,KC,2,"$20,000,000.00","$10,000,000.00",,,,,,,,,,,
Jason Hammel,RP,32.2,R,R,OAK,CHC,2,"$20,000,000.00","$10,000,000.00",,,,,,,,,,,
Luke Gregerson,RP,30.5,L,R,OAK,HOU,3,"$18,500,000.00","$6,166,667.00",,,,,,,,,,,
Kendrys Morales,DH,31.4,S,R,SEA,KC,2,"$17,000,000.00","$8,500,000.00",,,,,,,,,,,
Mike Morse,LF,32.7,R,R,SF,MIA,2,"$16,000,000.00","$8,000,000.00",,,,,,,,,,,
Sergio Romo,RP,31.8,R,R,SF,SF,2,"$15,000,000.00","$7,500,000.00",,,,,,,,,,,
Zach Duke,RP,31.5,L,L,MIL,CHW,3,"$15,000,000.00","$5,000,000.00",,,,,,,,,,,
Francisco Rodriguez,RP,33.1,R,R,MIL,MIL,2,"$13,000,000.00","$6,500,000.00",,,,,,,,,,,
Pat Neshek,RP,34.2,S,R,STL,HOU,2,"$12,500,000.00","$6,250,000.00",,,,,,,,,,,
Alex Rios,RF,33.8,R,R,TEX,KC,1,"$11,000,000.00","$11,000,000.00",,,,,,,,,,,
Torii Hunter,RF,39.3,R,R,DET,MIN,1,"$10,500,000.00","$10,500,000.00",,,,,,,,,,,
Brett Anderson,SP,26.8,L,L,COL,LAD,1,"$10,000,000.00","$10,000,000.00",,,,,,,,,,,
Luke Hochevar,RP,31.2,R,R,KC,KC,2,"$10,000,000.00","$5,000,000.00",,,,,,,,,,,
Kris Medlen,SP,29.2,S,R,ATL,KC,2,"$8,500,000.00","$4,250,000.00",,,,,,,,,,,
A.J. Burnett,SP,37.8,R,R,PHI,PIT,1,"$8,500,000.00","$8,500,000.00",,,,,,,,,,,
Colby Rasmus,LF,28.4,L,L,TOR,HOU,1,"$8,000,000.00","$8,000,000.00",,,,,,,,,,,
Jason Grilli,RP,38.1,R,R,LAA,ATL,2,"$8,000,000.00","$4,000,000.00",,,,,,,,,,,
Asdrubal Cabrera,2B,29.1,S,R,WSH,TB,1,"$7,500,000.00","$7,500,000.00",,,,,,,,,,,
Kevin Correia,SP,34.8,R,R,SF,PHI,1,"$6,500,000.00","$6,500,000.00",,,,,,,,,,,
