Yoenis Cespedes,LF,31.1,R,R,NYM,NYM,4,"$110,000,000","$27,500,000"
Aroldis Chapman,RP,28.8,L,L,CHC,NYY,5,"$86,000,000","$17,200,000"
Dexter Fowler,RF,30.7,S,R,CHC,STL,5,"$82,500,000","$16,500,000"
Kenley Jansen,RP,29.2,S,R,LAD,LAD,5,"$80,000,000","$16,000,000"
Ian Desmond,CF,31.2,R,R,TEX,COL,5,"$70,000,000","$14,000,000"
Justin Turner,3B,32.0,R,R,LAD,LAD,4,"$64,000,000","$16,000,000"
Mark Melancon,RP,31.7,R,R,WSH,SF,4,"$62,000,000","$15,500,000"
Edwin Encarnacion,DH,33.9,R,R,TOR,CLE,3,"$60,000,000","$20,000,000"
Josh Reddick,RF,29.7,L,R,LAD,HOU,4,"$52,000,000","$13,000,000"
Rich Hill,SP,36.7,L,L,LAD,LAD,3,"$48,000,000","$16,000,000"
Mark Trumbo,DH,31.0,R,R,BAL,BAL,3,"$37,500,000","$12,500,000"
Kendrys Morales,DH,33.3,S,R,KC,TOR,3,"$33,000,000","$11,000,000"
Brett Cecil,RP,30.3,R,L,TOR,STL,4,"$30,500,000","$7,625,000"
Ivan Nova,SP,29.9,R,R,PIT,PIT,3,"$26,000,000","$8,666,667"
Jason Castro,C,29.4,L,R,HOU,MIN,3,"$24,500,000","$8,166,667"
Edinson Volquez,RP,33.3,R,R,KC,MIA,2,"$22,000,000","$11,000,000"
Michael Dunn,RP,31.5,L,L,MIA,COL,3,"$19,000,000","$6,333,333"
Jose Bautista,RF,36.2,R,R,TOR,TOR,1,"$18,500,000","$18,500,000"
Jason Hammel,RP,34.4,R,R,CHC,KC,2,"$16,000,000","$8,000,000"
Brad Ziegler,RP,37.2,R,R,BOS,MIA,2,"$16,000,000","$8,000,000"
Carlos Beltran,DH,39.6,S,R,TEX,HOU,1,"$16,000,000","$16,000,000"
Luis Valbuena,3B,31.1,L,R,HOU,LAA,2,"$15,000,000","$7,500,000"
Charlie Morton,SP,33.0,R,R,PHI,HOU,2,"$14,000,000","$7,000,000"
Welington Castillo,C,29.6,R,R,ARI,BAL,2,"$13,000,000","$6,500,000"
Matt Holliday,OF,36.8,R,R,STL,NYY,1,"$13,000,000","$13,000,000"
Wilson Ramos,C,29.2,R,R,WSH,TB,2,"$12,500,000","$6,250,000"
Steven Pearce,1B,33.6,R,R,BAL,TOR,2,"$12,500,000","$6,250,000"
Bartolo Colon,SP,43.4,R,R,NYM,ATL,1,"$12,500,000","$12,500,000"
Travis Wood,SP,30.0,R,L,CHC,KC,2,"$12,000,000","$6,000,000"
Brandon Moss,DH,33.3,L,R,STL,KC,2,"$12,000,000","$6,000,000"
Junichi Tazawa,RP,30.5,R,R,BOS,MIA,2,"$12,000,000","$6,000,000"
Carlos Gomez,RF,31.0,R,R,TEX,TEX,1,"$11,500,000","$11,500,000"
Sean Rodriguez,2B,31.5,R,R,PIT,ATL,2,"$11,500,000","$5,750,000"
Santiago Casilla,RP,36.4,R,R,SF,OAK,2,"$11,000,000","$5,500,000"
Daniel Hudson,RP,29.8,R,R,ARI,PIT,2,"$11,000,000","$5,500,000"
Marc Rzepczynski,RP,31.2,L,L,WSH,SEA,2,"$11,000,000","$5,500,000"
Matt Joyce,LF,32.2,L,R,PIT,OAK,2,"$11,000,000","$5,500,000"
Andrew Cashner,RP,30.2,R,R,MIA,TEX,1,"$10,000,000","$10,000,000"
Mike Napoli,1B,35.2,R,R,CLE,TEX,1,"$8,500,000","$8,500,000"
Jon Jay,RF,31.7,L,L,SD,CHC,1,"$8,000,000","$8,000,000"
