Ryan Webb,RP,27.8,R,R,MIA,BAL,2,"$4,500,000","$2,250,000"
Jose Molina,C,38.4,,,TB,TB,2,"$4,500,000","$2,250,000"
Oliver Perez,RP,32.5,L,L,SEA,ARI,2,"$4,250,000","$2,125,000"
Bruce Chen,RP,36.6,,,KC,KC,1,"$4,250,000","$4,250,000"
Scott Downs,RP,37.8,,,ATL,CHW,1,"$4,000,000","$4,000,000"
Gavin Floyd,RP,30.8,R,R,CHW,ATL,1,"$4,000,000","$4,000,000"
Jeff Baker,1B,32.6,R,R,TEX,MIA,2,"$3,700,000","$1,850,000"
Eric Chavez,3B,36.0,L,R,ARI,ARI,1,"$3,500,000","$3,500,000"
Rafael Furcal,SS,36.1,B,R,STL,MIA,1,"$3,500,000","$3,500,000"
Francisco Rodriguez,RP,32.1,R,R,BAL,MIL,1,"$3,250,000","$3,250,000"
Jesse Crain,RP,32.4,,,TB,HOU,1,"$3,250,000","$3,250,000"
Ronald Belisario,RP,30.9,R,R,LAD,CHW,1,"$3,000,000","$3,000,000"
Kelly Johnson,2B,31.8,L,R,TB,NYY,1,"$3,000,000","$3,000,000"
Nick Punto,SS,36.0,,,LAD,OAK,1,"$3,000,000","$3,000,000"
Kurt Suzuki,C,30.2,R,R,OAK,MIN,1,"$2,750,000","$2,750,000"
Raul Ibanez,DH,41.5,L,R,SEA,LAA,1,"$2,750,000","$2,750,000"
Andrew Bailey,RP,29.7,R,R,BOS,NYY,1,"$2,500,000","$2,500,000"
Joba Chamberlain,RP,28.2,R,R,NYY,DET,1,"$2,500,000","$2,500,000"
Paul Konerko,1B,37.7,,,CHW,CHW,1,"$2,500,000","$2,500,000"
Matt Albers,RP,30.8,L,R,CLE,HOU,1,"$2,450,000","$2,450,000"
Brayan Pena,C,31.8,S,R,DET,CIN,2,"$2,275,000","$1,137,500"
Chris Capuano,RP,35.5,L,L,LAD,BOS,1,"$2,250,000","$2,250,000"
LaTroy Hawkins,RP,40.8,R,R,NYM,COL,1,"$2,250,000","$2,250,000"
Jerome Williams,RP,32.2,R,R,LAA,HOU,1,"$2,100,000","$2,100,000"
Mark Reynolds,3B,30.4,R,R,NYY,MIL,1,"$2,000,000","$2,000,000"
