Zack Greinke,SP,29.1,R,R,LAA,LAD,6,"$147,000,000","$24,500,000",,,,,,,,,,,
Josh Hamilton,LF,31.5,L,L,TEX,LAA,5,"$125,000,000","$25,000,000",,,,,,,,,,,
Anibal Sanchez,SP,28.8,R,R,DET,DET,5,"$80,000,000","$16,000,000",,,,,,,,,,,
Melvin Upton,LF,28.2,R,R,TB,ATL,5,"$72,500,000","$14,500,000",,,,,,,,,,,
Nick Swisher,OF,32.0,B,L,NYY,CLE,4,"$56,000,000","$14,000,000",,,,,,,,,,,
Edwin Jackson,SP,29.2,R,R,WSH,CHC,4,"$52,000,000","$13,000,000",,,,,,,,,,,
Michael Bourn,CF,30.1,L,R,ATL,CLE,4,"$48,000,000","$12,000,000",,,,,,,,,,,
Angel Pagan,LF,31.4,B,R,SF,SF,4,"$40,000,000","$10,000,000",,,,,,,,,,,
Shane Victorino,RF,32.0,B,R,LAD,BOS,3,"$39,000,000","$13,000,000",,,,,,,,,,,
Kyle Lohse,SP,34.4,R,R,STL,MIL,3,"$33,000,000","$11,000,000",,,,,,,,,,,
David Ortiz,DH,36.9,L,L,BOS,BOS,2,"$29,000,000","$14,500,000",,,,,,,,,,,
Rafael Soriano,RP,33.0,R,R,NYY,WSH,2,"$28,000,000","$14,000,000",,,,,,,,,,,
Ryan Dempster,SP,35.6,,,TEX,BOS,2,"$26,500,000","$13,250,000",,,,,,,,,,,
Cody Ross,RF,32.0,R,L,BOS,ARI,3,"$26,000,000","$8,666,667",,,,,,,,,,,
Torii Hunter,RF,37.2,R,R,LAA,DET,2,"$26,000,000","$13,000,000",,,,,,,,,,,
Jeremy Guthrie,SP,33.6,R,R,KC,KC,3,"$25,000,000","$8,333,333",,,,,,,,,,,
Adam LaRoche,DH,33.2,L,L,WSH,WSH,2,"$24,000,000","$12,000,000",,,,,,,,,,,
Jonathan Broxton,RP,28.4,R,R,CIN,CIN,3,"$21,000,000","$7,000,000",,,,,,,,,,,
Marco Scutaro,2B,37.1,,,SF,SF,3,"$20,000,000","$6,666,667",,,,,,,,,,,
Jeremy Affeldt,RP,33.4,L,L,SF,SF,3,"$18,000,000","$6,000,000",,,,,,,,,,,
Russell Martin,C,29.8,R,R,NYY,PIT,2,"$17,000,000","$8,500,000",,,,,,,,,,,
Melky Cabrera,LF,28.2,S,L,SF,TOR,2,"$16,000,000","$8,000,000",,,,,,,,,,,
Brandon McCarthy,SP,29.4,R,R,OAK,ARI,2,"$15,500,000","$7,750,000",,,,,,,,,,,
Ryan Ludwick,LF,34.3,R,L,CIN,CIN,2,"$15,000,000","$7,500,000",,,,,,,,,,,
Joe Blanton,RP,31.9,R,R,LAD,LAA,2,"$15,000,000","$7,500,000",,,,,,,,,,,
Hiroki Kuroda,SP,37.8,,,NYY,NYY,1,"$15,000,000","$15,000,000",,,,,,,,,,,
Hisashi Iwakuma,SP,31.5,R,R,SEA,SEA,2,"$14,000,000","$7,000,000",,,,,,,,,,,
