Jose Molina,C,36.4,,,TOR,TB,1,"$1,800,000","$1,800,000",,,,,,,,,,,
Takashi Saito,RP,41.8,,,MIL,ARI,1,"$1,750,000","$1,750,000",,,,,,,,,,,
Joel Pineiro,SP,33.2,,,LAA,PHI,1,"$1,500,000","$1,500,000",,,,,,,,,,,
Vincent Padilla,RP,34.2,,,LAD,BOS,1,"$1,500,000","$1,500,000",,,,,,,,,,,
Aaron Cook,SP,32.9,,,COL,BOS,1,"$1,500,000","$1,500,000",,,,,,,,,,,
Endy Chavez,LF,33.8,L,L,TEX,BAL,1,"$1,500,000","$1,500,000",,,,,,,,,,,
Todd Coffey,RP,31.3,,,WSH,LAD,1,"$1,300,000","$1,300,000",,,,,,,,,,,
Austin Kearns,LF,31.6,,,CLE,MIA,1,"$1,300,000","$1,300,000",,,,,,,,,,,
Johnny Damon,LF,38.4,,,TB,CLE,1,"$1,250,000","$1,250,000",,,,,,,,,,,
Rick Ankiel,CF,32.5,,,WSH,WSH,1,"$1,250,000","$1,250,000",,,,,,,,,,,
Jim Thome,DH,41.2,,,CLE,PHI,1,"$1,250,000","$1,250,000",,,,,,,,,,,
Henry Blanco,C,40.2,,,ARI,ARI,1,"$1,200,000","$1,200,000",,,,,,,,,,,
Ronny Cedeno,SS,28.9,R,R,PIT,NYM,1,"$1,150,000","$1,150,000",,,,,,,,,,,
Reed Johnson,LF,35.0,R,R,CHC,CHC,1,"$1,150,000","$1,150,000",,,,,,,,,,,
Raul Ibanez,DH,39.7,L,R,PHI,NYY,1,"$1,100,000","$1,100,000",,,,,,,,,,,
Scott Hairston,RF,31.6,R,R,NYM,NYM,1,"$1,100,000","$1,100,000",,,,,,,,,,,
Ronny Paulino,C,30.8,,,NYM,BAL,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Jonny Gomes,LF,31.1,R,R,WSH,OAK,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Jack Wilson,2B,34.0,,,ATL,ATL,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Kevin Kouzmanoff,3B,30.4,R,R,NYM,KC,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Guillermo Mota,RP,38.3,,,SF,SF,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Felix Pie,CF,26.8,,,BAL,CLE,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Tim Byrdak,RP,37.8,,,NYM,NYM,1,"$1,000,000","$1,000,000",,,,,,,,,,,
Luis Ayala,RP,34.0,,,NYY,BAL,1,"$925,000","$925,000",,,,,,,,,,,
Hideki Matsui,DH,37.8,,,OAK,TB,1,"$900,000","$900,000",,,,,,,,,,,
Zach Duke,RP,28.9,L,L,ARI,WSH,1,"$900,000","$900,000",,,,,,,,,,,
Chris Young,RP,32.8,R,R,NYM,NYM,1,"$900,000","$900,000",,,,,,,,,,,
Eric Chavez,3B,34.2,L,R,NYY,NYY,1,"$900,000","$900,000",,,,,,,,,,,
Dan Johnson,1B,32.5,,,TB,CHW,1,"$900,000","$900,000",,,,,,,,,,,
Jamey Wright,RP,37.1,R,R,SEA,LAD,1,"$900,000","$900,000",,,,,,,,,,,
